"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-909733","Interferon alpha/beta signaling","28/688","69/10619",4.12393080443434e-16,3.41505512620954e-13,3.26768876991907e-13,"ISG15/IFIT3/IFIT2/OASL/SOCS3/IFIT1/ISG20/MX1/OAS2/USP18/IRF7/OAS1/STAT1/OAS3/MX2/RSAD2/GBP2/XAF1/IRF1/STAT2/PTPN6/IRF9/ADAR/IFNB1/IFI35/SOCS1/IFNA13/IFI6",28
"R-HSA-913531","Interferon Signaling","48/688","199/10619",6.40723288219426e-16,3.41505512620954e-13,3.26768876991907e-13,"ISG15/IFIT3/IFIT2/GBP4/DDX58/HERC5/OASL/GBP5/SOCS3/IFIT1/ISG20/MX1/OAS2/USP18/IRF7/OAS1/EIF2AK2/STAT1/OAS3/MX2/RSAD2/GBP1/GBP2/UBE2L6/TRIM21/PML/TRIM22/XAF1/GBP3/IRF1/GBP7/STAT2/TRIM5/PTPN6/IRF9/GBP6/FLNB/ADAR/ICAM1/TRIM14/IFNB1/IFI35/SOCS1/NUP85/IFNA13/TRIM34/TRIM26/IFI6",48
"R-HSA-6783783","Interleukin-10 signaling","22/688","47/10619",1.63537831104246e-14,5.81104426523755e-12,5.56028625754437e-12,"IL6/PTGS2/TNF/CXCL1/IL10/CSF3/CCL20/CXCL2/CCL5/IL1A/CXCL10/IL10RA/IL1R1/CSF2/CSF1/IL18/LIF/IL1B/ICAM1/CCL19/CCR1/IL1RN",22
"R-HSA-877300","Interferon gamma signaling","26/688","92/10619",7.57406433603017e-11,2.01848814555204e-08,1.93138640568769e-08,"GBP4/OASL/GBP5/SOCS3/OAS2/IRF7/OAS1/STAT1/OAS3/GBP1/GBP2/TRIM21/PML/TRIM22/GBP3/IRF1/GBP7/TRIM5/PTPN6/IRF9/GBP6/ICAM1/TRIM14/SOCS1/TRIM34/TRIM26",26
"R-HSA-449147","Signaling by Interleukins","63/688","463/10619",1.14106526368742e-08,2.43275114218158e-06,2.32777313792234e-06,"IL6/TSLP/PTGS2/TNF/PELI1/CLCF1/SOCS3/CRLF2/CXCL1/IL10/CSF3/CCL20/IL23A/CXCL2/STAT1/CCL5/IL1A/CXCL10/IL10RA/IL36A/IL1R1/IL15RA/IL36G/CSF2/STAT2/PTPN6/HAVCR2/MMP3/HMOX1/IL15/STAT4/MAP2K3/CSF1/PTPN9/IL2RA/IL18/IL27RA/LIF/IL1B/RIPK2/ICAM1/CCL19/SOCS1/BCL2L1/HIST2H3D/RHOU/SOCS2/NFKB2/TMEM189-UBE2V1/SOCS5/CCR1/ZEB1/SERPINB2/RPS6KA3/HIST1H3A/IL27/FOXO3/IL1RN/STAT5A/HIST1H3I/FOXO1/BTRC/FLT3",63
"R-HSA-380108","Chemokine receptors bind chemokines","14/688","48/10619",1.23224454637781e-06,0.000218928781073125,0.000209481572884228,"CXCL3/CXCL1/CCL20/CXCL2/CXCL5/CCL5/CXCL10/CXCL11/CCR7/CXCR4/CCRL2/CCL19/CCR1/CXCL16",14
"R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","21/688","108/10619",4.70134717676627e-06,0.000715948012918977,0.00068505344575737,"IL6/PTGS2/TNF/SOCS3/IL10/IL23A/STAT1/IL1A/MMP3/HMOX1/IL18/LIF/IL1B/ICAM1/SOCS1/BCL2L1/RHOU/SOCS5/ZEB1/FOXO3/FOXO1",21
"R-HSA-168643","Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways","14/688","55/10619",7.27731838955566e-06,0.000969702675408291,0.000927858094668346,"AIM2/NLRP3/BIRC2/TXNIP/BIRC3/RIPK2/TNFAIP3/CASP2/BCL2L1/NFKB2/TMEM189-UBE2V1/MEFV/PANX1/P2RX7",14
"R-HSA-622312","Inflammasomes","8/688","20/10619",1.86748538945371e-05,0.00221193269461962,0.00211648344138088,"AIM2/NLRP3/TXNIP/BCL2L1/NFKB2/MEFV/PANX1/P2RX7",8
"R-HSA-1169410","Antiviral mechanism by IFN-stimulated genes","16/688","80/10619",4.39664946405576e-05,0.00468682832868343,0.00448458245333687,"ISG15/DDX58/HERC5/OASL/IFIT1/MX1/OAS2/USP18/OAS1/EIF2AK2/STAT1/OAS3/MX2/UBE2L6/FLNB/NUP85",16
"R-HSA-140534","Caspase activation via Death Receptors in the presence of ligand","7/688","17/10619",5.09362812194416e-05,0.00493618870726589,0.00472318244034822,"TNFSF10/RIPK1/FAS/TLR4/CFLAR/TNFRSF10B/TICAM1",7
"R-HSA-5675482","Regulation of necroptotic cell death","7/688","18/10619",7.871253811368e-05,0.00645442812532176,0.00617590683661181,"TNFSF10/RIPK1/BIRC2/FAS/BIRC3/CFLAR/TNFRSF10B",7
"R-HSA-5676594","TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway","7/688","18/10619",7.871253811368e-05,0.00645442812532176,0.00617590683661181,"CD40/LTA/BIRC2/BIRC3/TNFSF13B/TNFRSF12A/MAP3K14",7
"R-HSA-912694","Regulation of IFNA signaling","8/688","26/10619",0.000163520204179954,0.0113943342784297,0.0109026463076907,"SOCS3/USP18/STAT1/STAT2/PTPN6/IFNB1/SOCS1/IFNA13",8
"R-HSA-5213460","RIPK1-mediated regulated necrosis","7/688","20/10619",0.000171021902865737,0.0113943342784297,0.0109026463076907,"TNFSF10/RIPK1/BIRC2/FAS/BIRC3/CFLAR/TNFRSF10B",7
"R-HSA-5218859","Regulated Necrosis","7/688","20/10619",0.000171021902865737,0.0113943342784297,0.0109026463076907,"TNFSF10/RIPK1/BIRC2/FAS/BIRC3/CFLAR/TNFRSF10B",7
"R-HSA-844456","The NLRP3 inflammasome","6/688","15/10619",0.000218356608628959,0.0136922438116747,0.0131013965177375,"NLRP3/TXNIP/NFKB2/MEFV/PANX1/P2RX7",6
"R-HSA-3371378","Regulation by c-FLIP","5/688","11/10619",0.000374289886212266,0.0191744055188426,0.0183469921474855,"TNFSF10/RIPK1/FAS/CFLAR/TNFRSF10B",5
"R-HSA-5218900","CASP8 activity is inhibited","5/688","11/10619",0.000374289886212266,0.0191744055188426,0.0183469921474855,"TNFSF10/RIPK1/FAS/CFLAR/TNFRSF10B",5
"R-HSA-69416","Dimerization of procaspase-8","5/688","11/10619",0.000374289886212266,0.0191744055188426,0.0183469921474855,"TNFSF10/RIPK1/FAS/CFLAR/TNFRSF10B",5
"R-HSA-5669034","TNFs bind their physiological receptors","8/688","29/10619",0.000377732191271759,0.0191744055188426,0.0183469921474855,"LTA/TNFSF9/TNFRSF11B/TNFRSF9/TNFSF13B/TNFSF18/TNFSF4/TNFSF15",8
"R-HSA-168928","DDX58/IFIH1-mediated induction of interferon-alpha/beta","14/688","78/10619",0.000427462238243415,0.0207124884530673,0.0198187037731038,"ISG15/DHX58/DDX58/HERC5/IFIH1/IRF7/UBE2L6/RIPK1/IFNB1/TNFAIP3/UBE2D1/IFNA13/NFKB2/NLRC5",14
"R-HSA-937041","IKK complex recruitment mediated by RIP1","7/688","25/10619",0.000797692780633188,0.0362549823548467,0.0346905084446001,"RIPK1/BIRC2/BIRC3/UBE2D1/TLR4/TMEM189-UBE2V1/TICAM1",7
"R-HSA-5668541","TNFR2 non-canonical NF-kB pathway","16/688","102/10619",0.000816247257520001,0.0362549823548467,0.0346905084446001,"TNF/CD40/LTA/BIRC2/BIRC3/TNFSF9/TNFRSF11B/TNFRSF9/TNFSF13B/TNFRSF12A/TNFSF18/TNFSF4/NFKB2/MAP3K14/TNFSF15/BTRC",16
"R-HSA-5357905","Regulation of TNFR1 signaling","8/688","33/10619",0.000970357874694502,0.0413760597769735,0.0395906012875357,"TNF/RIPK1/BIRC2/MADD/BIRC3/TRAF1/TNFAIP3/USP21",8
