"","SPM.Control.1","SPM.LPS.1","LPM.Control.1","LPM.LPS.1","SPM.Control.2","SPM.LPS.2","LPM.Control.2","LPM.LPS.2","SPM.Control.3","SPM.LPS.3","LPM.Control.3","LPM.LPS.3","SPM.Control.4","SPM.LPS.4","LPM.Control.4","LPM.LPS.4"
"ADA",7.98480034182701,8.89281961180335,7.94469225159395,8.7121759712219,8.51114509282354,8.99117734330523,7.15576455311467,8.07167159725719,8.97463535294609,9.30042792103589,7.38265453148401,7.50004714807447,9.60184373693344,10.026170290943,8.50648547522774,8.79259541893323
"LOC100419583",6.31802967693706,7.27006550216915,6.56886470492002,7.68898370267526,6.25905705029478,7.45304014527889,6.90317436292062,7.39080938381945,5.9238186047653,6.89841485503247,6.76245048098216,7.33580436998973,5.98487874582225,7.31421549873887,6.29842305225336,7.09138733096398
"INAFM2",6.62771437874571,5.70372623727501,6.37585513314079,5.13221446374172,7.24006364290893,5.57198580138103,7.21756011067719,6.25086645963,6.87114661383293,5.55555999613993,6.26405962399492,5.9415977835294,7.06667523644327,5.44744555177447,6.70017708462176,5.75063253135055
"LOC100506142",5.50893417579016,5.56417248931259,5.08419122767388,4.21113051439634,5.35266322812493,5.20863671028031,5.04512742410593,3.82336083299654,5.50314578806367,5.30472327380474,4.09255819806509,4.63602129951314,6.20417797093028,5.74422269358095,4.26248876049769,4.38937655440492
"VIM-AS1",7.79677981680638,9.29312950330427,6.64692841620882,7.63032810330464,6.92147123769502,8.27070040528745,6.00589668146413,7.53725268292118,6.64115956803566,7.99415446635202,6.40156349243053,7.43938694586986,7.17522720386477,7.91594810475189,6.63767690838806,7.07133598297055
"TM4SF19-TCTEX1D2",9.19903872557717,8.93538224502039,8.70409847537786,7.69205598136723,9.32825572267315,8.62216185450774,7.73262865736097,7.39011192927137,9.0126163278312,8.43327590857273,7.45600198832764,7.17761483607605,9.08392433367204,8.70371085062211,8.06293095789623,7.43518988652303
"ABCC5",4.32124565770989,4.25918095107045,5.93981671556783,5.51367922708736,5.65746065852156,5.1162823675829,6.68717759961632,6.56802677481157,4.74423095936446,4.44394501197581,6.51434390611144,6.56734463316061,5.32581880453797,5.28565467232054,5.99089607612737,6.35008878096374
"NR1H3",5.71525697807913,5.00252277419104,7.53278194748533,6.85051238933234,6.60716654686631,5.56729824345856,6.97554333436104,6.02938398415463,6.50276107294261,5.64129884895994,7.04817842538216,6.7252343118143,6.03864837496549,6.05007533125714,7.37680551245265,6.56606058022405
"KIF20A",3.18259532880278,3.70495158295353,5.25966412034124,4.20225479680117,3.76358954087296,3.58955338739657,5.83916826701245,5.45832765479031,3.729065123695,2.96450169415121,5.67036221110795,4.94775913169312,3.4442697219194,3.15770285498199,4.64097031997059,4.77710383110394
"ARL4C",6.66448315043549,5.43109803255296,8.12445469871053,6.50446476507843,7.39782464459121,6.4448365086158,8.09962758564189,7.39794712104504,5.57843092085812,5.82177031090433,7.53375574212773,7.6584824665944,6.1125963491852,5.61730202986514,7.14685563418857,7.23901214908719
"CDH16",4.3402330504611,5.3998897076473,4.63769916837767,5.73436013206551,4.82682762365105,5.27156854622103,5.63778289152179,6.74679104190271,5.12352832012306,5.51086430377983,6.03578508254299,7.15349444733532,4.85982381140119,4.76615895686097,5.48089807230085,6.49188501664534
"LPCAT3",7.67401372484974,7.3807118035138,9.33458009627333,8.86080982978258,8.74256169250355,8.33340119790908,9.54362591904687,9.13707801013036,8.28296210110874,8.23318980696307,9.45206616816811,9.29693324625658,8.79095389887145,8.35702675397323,9.61153712642261,9.44456837014759
"SORBS3",3.71310051248519,4.3414934750444,5.31277018675156,4.86082788091689,4.33921759958212,4.48564569466251,6.01307947480066,5.53887758022112,4.84671139942333,4.0919599388887,5.98050081064036,6.37953874559674,4.7216112686224,3.42011055433855,5.46209670740389,5.9259667765501
"ROR1-AS1",6.40415922281038,7.24226087276506,6.54416941536038,7.99930968124277,6.5181692085455,8.29178131109836,5.54186815683912,7.48739790164135,7.39302499881302,8.34100851059461,7.04810060668316,7.95546475645337,7.11446483066314,7.80310087215662,7.37850553120904,8.06143213214424
"ALG3",7.78030460901937,7.56803888092641,9.67510551127035,8.33133932042372,8.53660670331261,8.00955538788322,9.18224358416311,8.84625839163801,8.30317418346863,8.11852182545144,9.23779510940751,8.97657052192576,8.44226721184573,7.86661634063042,9.10106174042945,8.50809285332986
"CTDSPL",2.86269808527247,3.02975983589945,4.62131631623103,4.36040480116972,3.91294707609609,4.11141259690337,5.31470358033939,5.12626694263603,4.51313902267374,3.64661889376329,5.27433793576047,4.86969069519663,4.80255926926896,3.75735251312712,5.60159050757298,5.36316584007978
"SPRY2",6.82960141781798,7.57582111587182,5.79629252452775,6.57357228629926,5.72230494311616,7.08919681114423,6.1895858569103,7.30110572899069,5.89620098656078,7.02108026293855,6.04949837112295,7.82097705527964,6.48305070628073,6.80341577318009,6.07943253232601,7.12216855291702
"LANCL1",4.23078626213293,3.90855736522921,5.19543711655084,4.82325298929258,4.98544305227516,4.8497452394537,5.40999336537881,5.68785661199452,3.74139458246826,3.50148811490584,5.38363325573418,5.43080917920526,3.73341632001815,3.18872811495434,5.20389919180827,5.33938198018576
"CDKN3",4.18935789692672,4.37672201757602,6.1924026011766,4.99225603607175,5.20782244987071,4.82753412193904,6.68276163503714,6.0358377644512,5.1230122808006,4.80949859630782,6.05877059743103,5.3250351761432,5.40620707612659,4.699235676758,6.0831534169582,5.43453657467132
"TRIM22",8.38139715984958,9.03242301202677,8.12155699267135,9.93427407031037,8.24962548208311,9.76081487027431,8.10433757410732,9.06126870348681,8.20723470305519,9.07587176619801,8.19902258367632,8.82015058183352,8.26431915664661,9.62836745887836,8.03239755526988,9.28809339001458
"SEMA3A",4.10789197603939,6.23029071556252,2.96578224482872,6.49089058701769,3.98462765199949,7.64637637970833,4.08260752273985,7.4221088781703,4.25819684835582,5.64585778933914,3.59265556013262,5.0555302475896,4.96191149427359,6.76981725120673,4.1723878742981,6.364521396353
"NDC80",3.72815797061066,3.52114036535668,6.14057726937822,4.66658445584783,4.10827261487111,4.50048127541215,6.25941996209817,4.89709155900201,4.4698373595146,4.00388458500511,5.49039955021784,4.9183591156426,3.68970141785693,3.89813497613917,5.30482577738879,4.6709064477468
"TESK2",6.23123712529422,4.40458953390349,5.29327916033776,4.61061476861492,5.7981567613458,4.56853703627501,5.65868229881794,5.47746295475847,5.67997219708955,4.53719809021914,5.35263801564584,5.33493375552341,5.22408021692445,4.51265162547876,5.14964258407221,5.06160457481955
"GPNMB",10.4541638173824,9.98684658228344,11.7864998002403,11.5161440407935,11.0316065314612,10.4133185913436,11.9233892199335,11.7320694091354,10.8410317484293,10.4261950759122,11.9727022058358,11.9329236509231,10.5826722932178,10.3604788313887,11.7868631564229,11.7584200050102
"MERTK",9.49441546111679,9.2293671235887,10.0677452074411,9.81758134948087,9.60307635631254,9.22733001202142,10.5722983330581,10.4199798416039,9.67936216368992,9.56519092893148,10.8609939306713,10.9329579785739,8.9016287996752,8.59286082194029,10.3745920535305,10.2733730591396
"FBLN5",5.17671179756808,4.01392525282271,6.78569706186945,6.44881071431946,6.58521439685261,5.69914719333673,7.71016198844615,7.472111482724,5.56730126681058,5.76651108831159,8.49070085092977,8.31659831428832,4.73720854485078,4.84280486263977,7.28681025161193,6.63809786850597
"IFI44",7.03267229772232,9.22981924725573,7.322434488686,9.94405533031829,7.62589843794313,10.2251015982979,7.66010352238523,9.65117461512978,7.50169534530534,9.84690229925791,7.47992236088064,9.34921176217389,8.0362856410222,9.99394490341114,7.25889061383722,9.74473227064711
"CDC42EP3",9.54219151661775,9.49991824613275,8.08006786174843,8.45520583393135,8.91644341535062,8.92865962054371,6.82945484435364,7.10002621304318,9.34170631087138,9.47968928159895,7.56464256566971,7.93962976439816,9.40070071964249,9.40340347611353,7.66263354422484,8.01641991899116
"TXNIP",10.2721386459132,8.8257572720138,9.4882124494426,7.96231725157104,9.59237954472549,8.21601068736771,9.61983137813282,8.35039511552644,9.03957824283972,7.9587605501335,9.41224262450157,9.0269105384365,8.85777190705732,7.4696998073564,8.96456155303857,8.346691032056
"CENPF",4.11277439432273,3.84466802155835,6.38165499505722,4.96200094194263,5.09492643161635,4.31861801857229,6.50612737924369,6.2758044534312,4.17514362988413,3.69522876270324,6.13615847566615,5.82335204763816,3.90035612469164,4.25597769100668,6.13818195232002,5.43871748731423
"RAD51AP1",4.5295518480809,4.3127244327955,5.77584818327081,5.70108705104843,5.55687200563649,4.82770665300654,6.6483844482842,6.23930420425107,5.16948411972762,4.72381099586473,6.13631797354573,5.75971391586993,4.50465871138151,4.87702898824377,5.41057617752423,5.42545765431366
"PRELID3A",3.57506733826668,3.8307693593786,4.94548473728561,4.17292714741046,4.12582290858346,3.91174966826649,5.10974291184257,4.60049960965078,4.2304558919786,3.70108788588617,4.99377504972345,4.2686038816705,4.20642618924628,3.6100480737575,5.12806661479689,4.23140787143329
"CES1",6.49579904847832,6.98827574218655,6.14925448656632,6.48375518744815,6.57130234584754,6.94470195196459,5.319509834942,5.63605798911943,8.82006865078293,8.41528894592898,6.50479489451582,6.36046011405231,6.92204402393807,7.15031861382838,5.80672470216669,6.15285809733936
