"","SPM.Control.1","SPM.LPS.1","LPM.Control.1","LPM.LPS.1","SPM.Control.2","SPM.LPS.2","LPM.Control.2","LPM.LPS.2","SPM.Control.3","SPM.LPS.3","LPM.Control.3","LPM.LPS.3","SPM.Control.4","SPM.LPS.4","LPM.Control.4","LPM.LPS.4"
"TC2000009198.hg.1",7.98480034182701,8.89281961180335,7.94469225159395,8.7121759712219,8.51114509282354,8.99117734330523,7.15576455311467,8.07167159725719,8.97463535294609,9.30042792103589,7.38265453148401,7.50004714807447,9.60184373693344,10.026170290943,8.50648547522774,8.79259541893323
"TC0100017984.hg.1",6.09255786467178,6.89966227157644,5.8496119474003,7.18393692936839,6.04130222327979,6.38539415007935,5.16212391753165,5.57150201813919,6.407355976159,6.9760008181661,5.2906847002735,5.55365494697431,6.53454231652063,6.907314186991,6.15751634780632,6.62039925302888
"TC0500012302.hg.1",7.37445755903047,7.6140056151647,7.40789745714199,7.14774442701569,7.85546801303673,7.72616199925667,8.23691029367524,7.96173354301081,7.7889295456203,7.27259351532625,8.28779028278153,7.97742595266731,7.2085168715501,6.97251863788505,7.68987986590416,7.45741889228044
"TC1800008456.hg.1",3.20247761225738,3.0357451692625,3.1714553168522,3.3973945730571,2.60676295362838,3.45765982184361,3.45925099656689,3.74107049623615,3.01776330889225,2.56053496374602,4.43971051807238,3.60836138097923,2.85704301116609,2.5413566012188,3.41829623755474,3.19421546639361
"TC2000009768.hg.1",4.92123142527188,5.1914860337889,4.62875462345878,4.94727452634273,3.67001293440347,4.70263050639099,4.29330808211127,3.66414949226196,4.67297353081906,4.32719296828281,4.01940617857879,4.29901855249461,4.79289973479701,4.78229751305465,3.62587546385943,3.93348624846687
"TC0600014240.hg.1",6.55478947965584,6.8287478032955,5.51172568525912,5.1028843214272,6.07058322877511,5.90468799904573,4.91361499407882,5.29839979350973,6.18089334375155,6.13693591829685,5.76250786440965,5.2192078136409,5.75688799319303,6.1063490209546,5.40002635337312,5.23468935451881
"TC0700009068.hg.1",6.75917317796105,5.82046676303444,5.26324460458441,5.43950915577532,5.31221394898885,5.46905552680557,4.6014493247485,5.2062176176456,5.73201414126851,5.07196725270601,4.8526435859836,5.25067050638286,5.5182297293774,5.4704641263533,4.74813062982905,4.70382749790028
"TC0700006652.hg.1",7.53690326061214,7.32233781684457,6.99443066604726,6.47237177725563,7.50819733837929,7.42248727476923,6.80850570875272,6.7867089867969,7.65055196929815,7.54123127571721,6.97149498153743,7.11789536972589,7.75119663720208,7.34511460837509,7.20529407791888,6.91761750182244
"TC1100013160.hg.1",4.58786533438553,5.27639733232171,4.02737112575971,5.14090397897258,3.90055192348724,4.66427732338805,4.33384715484826,4.94284433664841,3.86100858904437,4.42180244352716,4.23296832161788,4.61545566447708,3.92269438754213,4.24604744608572,4.03233648591865,4.77528423658624
"TC0200010007.hg.1",3.36914135230666,3.73880889793504,3.2705637739299,3.4518017689692,3.44162039583636,2.80487690227666,3.12980028828845,2.84648141167331,3.11883000208049,3.53715751154922,2.77573466694669,3.52546707528289,3.49416259045879,3.53886093978255,3.17784830275532,2.7239646318071
"TC2000007558.hg.1",4.0092849132745,3.69442298670898,3.75899198953069,3.43516742401875,4.38812654088557,4.04593001782538,3.29703184541845,3.823821791003,3.8896862401472,4.08553740045243,3.51481325722425,4.22956104261816,4.12220056105675,4.08276843176729,3.21546189956956,3.99986733607977
"TC0800009462.hg.1",3.32694779735374,2.89712256484552,2.87618507197843,2.62336286909732,2.61530087440382,3.43936790944552,2.78171136436926,2.67282042351424,3.29744039117522,3.24973873406101,2.81896407158821,2.74842878073084,2.90638463189132,2.88715400416969,2.67381464266317,3.22088335569954
"TC2100007534.hg.1",5.70116071773568,5.69042764536713,6.57447612735255,6.40713326736833,5.3351345169573,5.81822018552605,5.19701923889372,5.50790325316817,5.99438743186595,6.09964076427306,5.88666676458591,6.34717584253763,4.90835982342949,4.5029208296503,4.76587754804982,4.65562695264566
"TC0100018478.hg.1",10.3816016233019,10.1494544782813,9.32141733172018,9.29716235649725,10.2457522372257,10.2859604411295,9.40126536658606,9.42291832046002,10.2547125393383,10.1257153342564,9.31513543059195,9.30292758620121,10.1341747292286,10.0069500499249,9.42575024555449,9.18991752737706
"TC0600012747.hg.1",3.11951374501227,3.05634211842069,3.18154199222515,3.34861540187484,2.84184984319116,2.53371314209884,3.19456372388594,2.9947509726919,3.29437461322729,3.2514861749925,3.29745327125648,2.70021599136991,2.64220708445245,2.45715631922645,2.49507544182046,2.34956804872806
"TC0X00007153.hg.1",5.81496469618314,5.94331062590351,5.02554999317607,5.72041789667678,5.63096129266789,5.84214713593151,4.45853822131481,5.15217236418517,5.52292597994805,5.63275279783752,4.70573883320054,5.12912637069468,5.36037997408955,5.94403954287027,5.2524334986974,5.28369756672273
"TC1900008151.hg.1",3.81536169474447,3.77378544063067,4.12547945307656,4.49325959795244,3.76272653566322,4.40085846811031,4.10567929651604,4.17617004372899,3.8457327657273,4.80943362977598,3.41489101361353,3.92727536391222,4.27764330058541,4.73989031706622,4.42777674918601,4.34686190781837
"TC1000008568.hg.1",5.80066224892843,5.41852960924238,3.91673532141761,4.71765874134278,4.73014221945738,5.23174822783973,5.20505024903019,4.80672378741823,5.28358533562015,4.95928979315041,4.60601959684911,5.01485567835356,4.62327219819671,4.64461379915973,4.76436603106703,4.75670684350862
"TC0100014638.hg.1",6.33607251696885,5.91695765872396,6.725429122948,6.79229295540327,6.53580934971598,6.41498742001391,7.22440013645314,7.23210236653676,6.58296177870842,6.73719379388282,7.7597949725703,7.70006832109972,6.2942992107843,6.49473116770881,6.9316310103293,7.13923402278044
"TC1600008878.hg.1",4.09826410695817,4.58925100255451,3.39260233437133,4.70851873122319,4.5674763396828,4.59218301832968,3.65691576500892,4.37521098107926,4.26248722779198,4.74086242474031,4.01558831673705,4.19628712268031,4.20107354927462,4.90545375988727,3.6628784019899,4.87731227823144
"TC0400006798.hg.1",3.30933252378381,4.0420383164004,4.04696463307053,3.66333308648574,4.15804462025649,4.26271150276448,3.55550411454897,3.28915339844843,3.85043053772107,3.44714163833026,3.6448357321455,3.55443764340972,3.21180880320727,3.4325846898135,3.17828997255313,3.67224915245293
"TC0100015580.hg.1",9.41565926549129,9.41194540119989,8.64405779682506,8.71211004181501,9.34426957212399,9.25276822768027,8.8413276604012,8.61511148948196,9.38717203037877,9.50714666017658,8.70962944406167,8.66891909902963,9.38255183928207,9.33458345009047,8.71395341928821,8.55793405817507
"TC1500010709.hg.1",4.3815594671839,3.8803020849857,4.34488501994037,3.76066165008409,3.93064724205052,4.0533906734459,4.38511766858691,4.52672234984673,3.92439048101356,3.80855269847926,5.27544998594987,4.58039805573474,4.35184934539161,3.66047071488088,4.09411152677916,3.78553009733363
"TC0700013424.hg.1",3.87289455199498,4.20325297933198,4.42022420930698,4.24657028201354,3.85957299916483,3.6038354167854,3.67168689280639,3.27439458818087,3.8921500435556,4.2711852595177,4.08340590218036,3.59265332651611,3.99443514408767,4.91241628506397,4.28677484382586,3.45707262623888
"TC1200012877.hg.1",3.25826748460611,3.06235671635403,4.12744417503329,3.86965588953142,3.85290219078781,3.97539932355319,4.49750393152245,3.97736321783523,4.40011199518431,4.062462223488,4.56559477774633,4.68650557823646,4.53118086862602,3.66425563988419,4.01909902299129,3.76272902518083
"TC1600008119.hg.1",4.80109341737073,4.96339974000101,4.4813290306244,4.89902431243853,3.94511176967592,4.00968315780183,3.84661730757643,3.76397427260197,3.97234729941173,4.19497842364267,3.91926304205534,3.86352169736644,4.09041180009163,4.33125907874088,4.15445762253384,4.55146900732982
