"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","TC0100006483.hg.1","ISG15","9636","ISG15 ubiquitin like modifier",-0.202000985712294,8.1911512664972,-0.720285854987169,0.481106284422845,0.614894163462283,-6.30472300006749
"2","TC0100006497.hg.1","SCNN1D","6339","sodium channel epithelial 1 delta subunit",-0.489647907935603,4.12669870587838,-1.76494876464283,0.0954728304711957,0.183785182061201,-5.08725558825638
"3","TC0100006501.hg.1","CPTP","80772","ceramide-1-phosphate transfer protein",-0.67659411549223,5.33348206590384,-2.59363847052033,0.0188944713166985,0.0557092241495528,-3.63681471675532
"4","TC0100006516.hg.1","VWA1","64856","von Willebrand factor A domain containing 1",-0.0373118767792651,5.06894047854245,-0.164366870631154,0.871374844892747,0.912688092469691,-6.55594452099537
"5","TC0100006565.hg.1","SKI","6497","SKI proto-oncogene",-0.292766662564133,6.27672338469298,-1.26277127347436,0.223666111269814,0.350243890264293,-5.77931429109044
"6","TC0100006619.hg.1","TPRG1L","127262","tumor protein p63 regulated 1 like",-0.0166071784176269,7.55915567174048,-0.104971489985917,0.917623237302555,0.945590842087972,-6.56423977101129
"7","TC0100006624.hg.1","SMIM1","388588","small integral membrane protein 1 (Vel blood group)",0.5361006838347,4.99122310363595,2.07607337051125,0.0533209404027516,0.118798747448555,-4.57977891976486
"8","TC0100006675.hg.1","KCNAB2","8514","potassium voltage-gated channel subfamily A regulatory beta subunit 2",-0.639888349129915,8.7994199105812,-3.59052918848066,0.0022454028271497,0.0134449384082786,-1.61822511452542
"9","TC0100006696.hg.1","ZBTB48","3104","zinc finger and BTB domain containing 48",0.308468721260291,4.76505041695008,1.16323110376708,0.260754843762326,0.394067352791874,-5.89451227493942
"10","TC0100006698.hg.1","PHF13","148479","PHD finger protein 13",-0.0244297222155208,6.36005773985899,-0.114547698588218,0.910141536707293,0.940355771986135,-6.56314927310401
"11","TC0100006725.hg.1","PER3","8863","period circadian regulator 3",-0.827891042732809,6.25956501300338,-2.07099402964153,0.0538456976071673,0.119737528236389,-4.58846988530214
"12","TC0100006771.hg.1","H6PD","9563","hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase",-0.492990531967285,6.37767452164619,-1.60934675317258,0.125895050169124,0.226931008383281,-5.32002537899711
"13","TC0100006773.hg.1","SPSB1","80176","splA/ryanodine receptor domain and SOCS box containing 1",-0.0005541866323302,8.34390644650691,-0.00199195623963449,0.99843376695696,0.998937014854488,-6.56995607390705
"14","TC0100006805.hg.1","RBP7","116362","retinol binding protein 7",0.442202133775353,6.42459090209197,1.48494254970833,0.155809717574276,0.268593454337197,-5.49475948353287
"15","TC0100006852.hg.1","UBIAD1","29914","UbiA prenyltransferase domain containing 1",0.28599988109605,8.13439736844247,1.41542030945593,0.174948733570706,0.292972716521877,-5.5877180474177
"16","TC0100006862.hg.1","FBXO6","26270","F-box protein 6",-0.105876859612513,6.28420275464438,-0.471701220809799,0.643119055223281,0.753967973625472,-6.45521319561188
"17","TC0100006874.hg.1","PLOD1","5351","procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",-1.11265416619153,8.97121899073716,-3.38610185173821,0.00349926064358281,0.018049638419906,-2.04437141864764
"18","TC0100006931.hg.1","PDPN","10630","podoplanin",-1.85608187899998,7.32972408072259,-2.07789605121022,0.0531337723156444,0.118438707105902,-4.57665718983125
"19","TC0100006977.hg.1","TMEM51","55092","transmembrane protein 51",-0.615977921272584,7.85802327639929,-3.77325646634949,0.0015092432783392,0.0106893193658519,-1.23498147368649
"20","TC0100006989.hg.1","DNAJC16","23341","DnaJ heat shock protein family (Hsp40) member C16",-0.426693323216835,6.84255348843158,-2.08675759509142,0.0522322849524984,0.116769745790674,-4.56145706339737
"21","TC0100007020.hg.1","CLCNKB","1188","chloride voltage-gated channel Kb",0.0452194701223614,2.78667110733585,0.19779166345034,0.845546618085563,0.895830726205931,-6.54967287064126
"22","TC0100007038.hg.1","NECAP2","55707","NECAP endocytosis associated 2",-0.669784217903193,7.94801022357994,-3.97088127169628,0.000982329311480906,0.00832631767553405,-0.819289805259576
"23","TC0100007188.hg.1","PLA2G5","5322","phospholipase A2 group V",0.301501467624586,5.14872840492808,1.39825718211463,0.179957401542781,0.298982311314979,-5.61013020096937
"24","TC0100007206.hg.1","CDA","978","cytidine deaminase",0.977735976074477,5.13223372083574,1.72028058643893,0.103474853398393,0.19587066650648,-5.15562050115866
"25","TC0100007240.hg.1","NBPF3","84224","NBPF member 3",0.159093146496646,4.74026851705086,0.573211164128505,0.573983557647477,0.696174872747608,-6.40104235167069
"26","TC0100007283.hg.1","ZBTB40","9923","zinc finger and BTB domain containing 40",0.387896798603546,7.20073981208093,2.05810503864806,0.055198417373402,0.121984288775572,-4.61046712677553
"27","TC0100007290.hg.1","C1QA","712","complement C1q A chain",-1.41298304447288,10.9813231460145,-4.30241281413566,0.000479346040109665,0.00573554764184046,-0.122240007792178
