"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","TC0100006483.hg.1","ISG15","9636","ISG15 ubiquitin like modifier",3.24783064365304,8.1911512664972,11.5809656263216,1.66908611044377e-09,1.79460268686431e-06,12.0740228740338
"2","TC0100006497.hg.1","SCNN1D","6339","sodium channel epithelial 1 delta subunit",-0.0935513358638147,4.12669870587838,-0.337208251046466,0.740074722018996,0.9096684949565,-6.74361526359174
"3","TC0100006501.hg.1","CPTP","80772","ceramide-1-phosphate transfer protein",-0.533213505582501,5.33348206590384,-2.0440069303199,0.0567132962443239,0.216032885035944,-4.8515517262147
"4","TC0100006516.hg.1","VWA1","64856","von Willebrand factor A domain containing 1",-0.131830514645802,5.06894047854245,-0.58074187139433,0.569010521467007,0.825189961000369,-6.62825759523356
"5","TC0100006565.hg.1","SKI","6497","SKI proto-oncogene",-0.0965882116745682,6.27672338469298,-0.416607608225158,0.682162203244688,0.882865416437384,-6.7125816471005
"6","TC0100006619.hg.1","TPRG1L","127262","tumor protein p63 regulated 1 like",-0.498780586692227,7.55915567174048,-3.15271746015327,0.00579177016400066,0.0493152194846527,-2.72094200482572
"7","TC0100006624.hg.1","SMIM1","388588","small integral membrane protein 1 (Vel blood group)",0.442823941323899,4.99122310363595,1.71485510115642,0.104485323047464,0.322455136283398,-5.38562514111538
"8","TC0100006675.hg.1","KCNAB2","8514","potassium voltage-gated channel subfamily A regulatory beta subunit 2",-0.224545252357228,8.7994199105812,-1.25996399812507,0.224652800938071,0.512090714176227,-6.00957110420643
"9","TC0100006696.hg.1","ZBTB48","3104","zinc finger and BTB domain containing 48",0.152403263269099,4.76505041695008,0.574710510115631,0.572991650477963,0.82733707138838,-6.6318310064942
"10","TC0100006698.hg.1","PHF13","148479","PHD finger protein 13",-0.745399753261349,6.36005773985899,-3.49507970295574,0.00276270777897208,0.0303963478199493,-2.00468706108632
"11","TC0100006725.hg.1","PER3","8863","period circadian regulator 3",-0.311411237231551,6.25956501300338,-0.779004458051573,0.446653297583045,0.742072480059061,-6.4911251906867
"12","TC0100006771.hg.1","H6PD","9563","hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase",-0.145062585994755,6.37767452164619,-0.473550680265335,0.641826034869417,0.862991231737274,-6.68638488980287
"13","TC0100006773.hg.1","SPSB1","80176","splA/ryanodine receptor domain and SOCS box containing 1",1.68243221587781,8.34390644650691,6.04729734473832,1.28922473078077e-05,0.000763162154950545,3.30732134971261
"14","TC0100006805.hg.1","RBP7","116362","retinol binding protein 7",-0.0221168848777396,6.42459090209197,-0.0742698890698723,0.941659896132914,0.983044543359851,-6.7999926446302
"15","TC0100006852.hg.1","UBIAD1","29914","UbiA prenyltransferase domain containing 1",-0.423407769886571,8.13439736844247,-2.09545526516365,0.0513610339600161,0.203337016498115,-4.76281626166231
"16","TC0100006862.hg.1","FBXO6","26270","F-box protein 6",0.514998148188189,6.28420275464438,2.29441311448233,0.0347297301724983,0.160707402756256,-4.40803109096456
"17","TC0100006874.hg.1","PLOD1","5351","procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",-0.0860360391142585,8.97121899073716,-0.261830495236615,0.796588483332592,0.931498655989019,-6.76710035179564
"18","TC0100006931.hg.1","PDPN","10630","podoplanin",0.047528799882814,7.32972408072259,0.0532088086806117,0.958183898830085,0.991579048119069,-6.80139625732907
"19","TC0100006977.hg.1","TMEM51","55092","transmembrane protein 51",-0.281359410723345,7.85802327639929,-1.7235053063052,0.102878282894343,0.318963993551938,-5.37239727034065
"20","TC0100006989.hg.1","DNAJC16","23341","DnaJ heat shock protein family (Hsp40) member C16",-0.49949795734816,6.84255348843158,-2.44281102964256,0.0257496030033564,0.134013664170277,-4.13256350793785
"21","TC0100007020.hg.1","CLCNKB","1188","chloride voltage-gated channel Kb",0.232478647599245,2.78667110733585,1.01687035033613,0.323425992563874,0.631048524665486,-6.27811220594458
"22","TC0100007038.hg.1","NECAP2","55707","NECAP endocytosis associated 2",-0.113772531642457,7.94801022357994,-0.674511586055022,0.509027845785527,0.785415383637096,-6.5681211410177
"23","TC0100007188.hg.1","PLA2G5","5322","phospholipase A2 group V",-0.112657093679067,5.14872840492808,-0.52246375977531,0.608068766552298,0.846326480369665,-6.66127959592212
"24","TC0100007206.hg.1","CDA","978","cytidine deaminase",-0.455123917233969,5.13223372083574,-0.800769183501945,0.43428068265547,0.73455631606665,-6.47378778783098
"25","TC0100007240.hg.1","NBPF3","84224","NBPF member 3",-0.189517654309223,4.74026851705086,-0.682830389879701,0.503885514837415,0.780601239039099,-6.56237375829522
